"id","priority","master_attribute_id","plan_attribute_id"
"762",100,"643","9884"
"763",100,"646","9887"
"764",100,"649","9890"
"765",100,"456","9893"
"766",100,"652","9896"
"767",100,"655","9899"
"768",100,"492","9902"
"769",100,"658","9905"
"770",100,"661","9908"
"771",100,"664","9911"
"772",100,"667","9914"
"773",100,"670","9917"
"774",100,"673","9920"
"775",100,"676","9923"
"776",100,"679","9926"
"777",100,"682","9929"
"778",100,"685","9932"
"779",100,"688","9935"
"690",100,"695","648"
"790",200,"695","9648"
"691",100,"696","651"
"791",200,"696","9651"
"692",100,"697","654"
"792",200,"697","9654"
"693",100,"698","657"
"793",200,"698","9657"
"694",100,"699","660"
"794",200,"699","9660"
"695",100,"700","663"
"795",200,"700","9663"
"696",100,"701","666"
"796",200,"701","9666"
"697",100,"702","669"
"797",200,"702","9669"
"698",100,"703","672"
"798",200,"703","9672"
"781",100,"35","10838"
"782",100,"150","10925"
"783",150,"442","10994"
"784",200,"442","570"
"785",100,"397","10954"
"788",100,"274","10956"
"786",100,"358","10924"
"787",100,"141","10926"
"799",100,"704","10886"
"800",150,"274","10959"
"801",200,"705","485"
"802",200,"706","453"
"803",200,"707","567"
"804",200,"708","414"
"805",100,"709","10707"
"806",200,"709","528"
